Claim_ID,Food_ID,Receiver_ID,Status,Timestamp,Food_Name,Quantity,Expiry_Date,Provider_ID,Provider_Type,Location,Food_Type,Meal_Type,Name_x,Type_x,Address,City_x,Contact_x,Name_y,Type_y,City_y,Contact_y
1,164,908,pending,2025-03-05 05:26:00,dairy,22,2025-03-27,432,restaurant,carolchester,vegan,dinner,meyer and sons,restaurant,"08209 eaton streets apt. 968
south laurenside, ri 88383",carolchester,001-738-662-6338,abigail crawford,ngo,lake shawn,(010)152-8668
2,353,391,cancelled,2025-03-11 10:24:00,fruits,5,2025-03-29,418,restaurant,deborahfurt,non-vegetarian,lunch,"schwartz, odonnell and padilla",restaurant,"23011 barnett falls apt. 524
west cameron, wy 52614",deborahfurt,955-658-8107x92494,regina munoz,ngo,lake clinton,585.955.3149
3,626,492,completed,2025-03-21 00:59:00,salad,37,2025-03-29,274,supermarket,new dawnborough,non-vegetarian,breakfast,shields-moore,supermarket,"922 bailey overpass suite 885
new william, va 50509",new dawnborough,9332911651,julie lewis,ngo,south steven,(557)352-3497x4606
4,61,933,cancelled,2025-03-04 09:08:00,fruits,33,2025-03-22,243,catering service,west catherine,vegetarian,lunch,davis-hurley,catering service,"687 sparks forks
east patricia, nc 25546",west catherine,(172)389-0239x87614,jodi lee,ngo,west paulfort,3517962649
5,345,229,pending,2025-03-14 15:17:00,pasta,14,2025-03-20,346,grocery store,thomasville,vegan,lunch,"phillips, wolfe and martin",grocery store,"unit 1376 box 6294
dpo ae 62072",thomasville,001-548-413-4962,tina watkins,shelter,bushview,7774795306
6,273,607,cancelled,2025-03-02 02:50:00,salad,32,2025-03-16,446,catering service,port richardshire,non-vegetarian,lunch,nichols-barnes,catering service,"psc 0287, box 6878
apo ap 95472",port richardshire,507-731-3315,sean wolf,ngo,mcfarlandhaven,(490)913-7034x400
7,735,256,cancelled,2025-03-07 23:58:00,fish,2,2025-03-19,459,supermarket,castilloport,non-vegetarian,snacks,brown ltd,supermarket,"8358 randy mission
markmouth, sc 03456",castilloport,164.699.6716,derek wilson,individual,christopherland,+1-963-859-7585x002
8,382,900,pending,2025-03-05 07:07:00,salad,42,2025-03-20,208,restaurant,east garyton,non-vegetarian,dinner,"miller, johnson and fernandez",restaurant,"228 kathryn mountains suite 986
cortezmouth, ia 90538",east garyton,985.790.0081x8718,hannah reynolds,charity,east kevinberg,731-040-5330x77836
9,278,807,completed,2025-03-18 02:26:00,soup,35,2025-03-24,66,restaurant,lake michaelfurt,non-vegetarian,lunch,lambert-wilson,restaurant,"2162 johnson field
east caroline, az 13953",lake michaelfurt,+1-552-690-1512x083,taylor miller,ngo,josephside,+1-022-270-5486x316
10,669,975,completed,2025-03-06 19:57:00,vegetables,14,2025-03-27,164,grocery store,sylviabury,vegetarian,dinner,yu-rodriguez,grocery store,"144 armstrong viaduct apt. 561
east ericchester, ut 19438",sylviabury,017.590.2372,danielle bullock,individual,amandafurt,(888)253-9476x2056
11,290,118,pending,2025-03-04 23:01:00,dairy,19,2025-03-19,315,restaurant,lake andrewmouth,non-vegetarian,lunch,nelson llc,restaurant,"773 frazier ranch
kellerbury, ga 32205",lake andrewmouth,+1-859-029-3911x34890,matthew tran,charity,south franciscoport,583.144.1560x457
12,694,739,completed,2025-03-01 21:55:00,bread,50,2025-03-22,995,supermarket,manningshire,vegetarian,dinner,moore group,supermarket,"46915 maynard dam suite 320
north alyssa, ca 48762",manningshire,889-093-8775x51762,nancy jones,shelter,west bradley,806.457.8047x368
13,951,959,pending,2025-03-08 13:08:00,vegetables,20,2025-03-16,118,supermarket,lake joseph,vegan,lunch,evans-harrison,supermarket,"2430 michael branch
lake brian, ca 67262",lake joseph,066.832.7189x65581,samantha gomez,charity,suzanneton,001-955-495-8534x09912
14,426,233,cancelled,2025-03-08 16:08:00,bread,6,2025-03-22,461,restaurant,new hannah,vegetarian,dinner,murray inc,restaurant,"9576 johnson course
farrellport, in 73821",new hannah,291.605.6162,alicia porter,charity,port ericmouth,001-652-614-2884x66578
15,684,97,completed,2025-03-07 08:00:00,rice,39,2025-03-29,221,supermarket,walterborough,vegetarian,snacks,richardson group,supermarket,"48378 morris pines apt. 216
port williamville, md 62944",walterborough,(924)099-7995,nathan may,charity,south veronicaburgh,(808)784-9354
16,320,836,cancelled,2025-03-07 06:17:00,vegetables,26,2025-03-20,484,restaurant,north douglasfurt,vegetarian,lunch,nelson-white,restaurant,"413 atkinson lodge
south michael, wy 43133",north douglasfurt,001-558-380-9342x873,scott craig,shelter,south lisa,118.382.6136
17,465,588,cancelled,2025-03-15 16:49:00,rice,32,2025-03-19,532,grocery store,darrylchester,vegetarian,snacks,johnson-green,grocery store,"7369 kenneth haven
andrewborough, ut 47985",darrylchester,001-090-513-0319x965,laurie alvarez,shelter,north raymond,(463)392-9887x42698
18,952,729,completed,2025-03-09 02:04:00,pasta,32,2025-03-28,82,supermarket,west lauraborough,vegan,dinner,carey-richardson,supermarket,"352 moore greens suite 745
deborahtown, nv 83580",west lauraborough,468.906.0755x92529,david spence,charity,port curtisside,+1-843-006-1807
19,798,399,pending,2025-03-16 06:32:00,fish,3,2025-03-30,413,catering service,north mike,vegetarian,lunch,"davis, bowen and miller",catering service,"418 adam mission suite 750
jessicaville, or 26759",north mike,9207424674,jennifer hughes,charity,west donnaton,001-147-430-1204x8556
20,792,88,completed,2025-03-07 12:15:00,chicken,15,2025-03-17,308,catering service,brittanyside,vegan,breakfast,doyle llc,catering service,"8157 tammy road
west stephenchester, nc 16381",brittanyside,0312154595,eric ryan dds,ngo,lake daniel,001-677-794-6847x02126
21,281,493,completed,2025-03-04 00:29:00,rice,28,2025-03-23,356,supermarket,west michael,non-vegetarian,breakfast,espinoza plc,supermarket,"410 white heights
north todd, id 25520",west michael,(410)539-3296,chelsea powell,charity,lake rachelburgh,001-527-059-4168x72504
22,345,757,pending,2025-03-09 03:11:00,pasta,14,2025-03-20,346,grocery store,thomasville,vegan,lunch,"phillips, wolfe and martin",grocery store,"unit 1376 box 6294
dpo ae 62072",thomasville,001-548-413-4962,christopher garcia,charity,north danielchester,+1-837-555-5633x0883
23,674,526,completed,2025-03-06 22:55:00,vegetables,34,2025-03-17,518,grocery store,anneville,vegetarian,lunch,"hill, davis and stewart",grocery store,"6315 jonathan views suite 276
jerryhaven, tx 90986",anneville,+1-608-953-5542x841,brian morales,ngo,darinland,409-939-7232x9674
24,594,717,pending,2025-03-15 00:51:00,chicken,35,2025-03-28,140,restaurant,watsonstad,non-vegetarian,breakfast,zhang llc,restaurant,"6343 sanders park suite 844
port brendaton, fl 49650",watsonstad,001-943-679-8869x4358,jonathon gregory,individual,shortfort,040-511-7461x377
25,371,10,completed,2025-03-10 07:10:00,bread,34,2025-03-21,154,supermarket,new john,non-vegetarian,lunch,smith-turner,supermarket,"574 jamie mountains apt. 480
north timothy, ca 92067",new john,001-084-709-0706x311,mary salazar,ngo,wrightland,001-187-333-7518x11395
26,959,233,cancelled,2025-03-21 04:34:00,pasta,26,2025-03-18,758,catering service,port patrick,vegan,breakfast,todd group,catering service,"unit 6259 box 3832
dpo ae 28167",port patrick,236.722.8623,alicia porter,charity,port ericmouth,001-652-614-2884x66578
27,58,487,completed,2025-03-17 05:07:00,pasta,39,2025-03-28,270,catering service,cunninghambury,vegan,lunch,harrison-wilson,catering service,"904 christopher station
lake patriciaborough, ar 56947",cunninghambury,269.475.2515,micheal peterson,ngo,west jeffreyfurt,094.330.4095
28,586,189,pending,2025-03-19 04:15:00,vegetables,37,2025-03-18,54,supermarket,lake rachael,vegetarian,breakfast,"bennett, phillips and green",supermarket,"unit 0882 box 8764
dpo ae 00627",lake rachael,001-350-580-0382x854,stephen smith,individual,maxberg,(690)326-1349x605
29,812,769,pending,2025-03-14 17:09:00,bread,49,2025-03-19,471,grocery store,charlesmouth,non-vegetarian,lunch,"allen, ramsey and cortez",grocery store,"480 bruce run
dennischester, co 85895",charlesmouth,594.468.5130,john warner,shelter,cookhaven,+1-003-320-5395
30,193,228,pending,2025-03-07 04:05:00,pasta,25,2025-03-21,354,catering service,south alicia,vegan,breakfast,rowe-arias,catering service,"8041 joseph shoal suite 878
north robertfurt, ky 43667",south alicia,090-649-4737,joanna wilkins,charity,singletonview,(796)888-1488
31,937,546,completed,2025-03-03 02:06:00,bread,18,2025-03-27,916,catering service,patrickfort,non-vegetarian,lunch,davis and sons,catering service,"551 huynh trail apt. 373
lake kevinton, ks 39284",patrickfort,965.266.3582,meagan hughes,charity,lake lance,(109)364-9434
32,624,371,cancelled,2025-03-17 12:57:00,fish,10,2025-03-16,475,catering service,bentonfurt,non-vegetarian,breakfast,henderson group,catering service,"655 mallory fork
north mary, wy 23835",bentonfurt,854-929-8365,william frederick,ngo,port dean,001-228-551-9866
33,905,386,cancelled,2025-03-16 14:26:00,bread,37,2025-03-25,2,grocery store,east sheena,vegan,dinner,"nielsen, johnson and fuller",grocery store,"91228 hanson stream
welchtown, or 27136",east sheena,+1-925-283-8901x6297,mary hopkins,individual,tiffanyport,001-476-350-8465x7500
34,713,271,pending,2025-03-18 01:17:00,fish,7,2025-03-26,108,supermarket,east austin,vegan,snacks,williams-cox,supermarket,"400 ross radial
francomouth, mt 80264",east austin,082.114.2329,mark hartman,individual,east ashleyshire,818-015-1582
35,190,93,cancelled,2025-03-09 21:40:00,salad,25,2025-03-22,262,supermarket,new carol,non-vegetarian,snacks,bradford-martinez,supermarket,"366 wheeler fields
harringtonchester, wy 86540",new carol,199.451.0254,allison bray,individual,alexatown,001-122-277-3588
36,597,562,pending,2025-03-16 03:41:00,dairy,12,2025-03-20,563,grocery store,east angela,vegetarian,lunch,daniels-kim,grocery store,"002 donald glen suite 515
edwardschester, or 44523",east angela,787.621.3654x1971,antonio murphy,ngo,west kevin,+1-177-564-0300x9110
37,832,920,cancelled,2025-03-13 03:50:00,fish,19,2025-03-16,752,grocery store,east heatherport,non-vegetarian,breakfast,butler-richardson,grocery store,"99213 george spurs suite 321
petersenberg, ma 55289",east heatherport,+1-268-505-2616,gregory rodriguez,charity,west davidview,671.667.1616
38,757,380,cancelled,2025-03-18 05:29:00,dairy,42,2025-03-21,282,supermarket,port gregton,vegetarian,dinner,"baker, gardner and callahan",supermarket,"18439 amanda field apt. 333
mccartymouth, mo 88867",port gregton,520-919-5240,heather silva,charity,lake ryan,1340826530
39,58,923,pending,2025-03-12 09:57:00,pasta,39,2025-03-28,270,catering service,cunninghambury,vegan,lunch,harrison-wilson,catering service,"904 christopher station
lake patriciaborough, ar 56947",cunninghambury,269.475.2515,victor diaz,shelter,darinview,561.923.0470x922
40,141,789,pending,2025-03-10 04:14:00,dairy,33,2025-03-29,702,supermarket,lake mistyton,non-vegetarian,lunch,moreno-melton,supermarket,"88171 teresa station
new shane, ut 53712",lake mistyton,001-098-297-7862x776,laura robertson,ngo,hansonfurt,616-851-6533x67759
41,415,336,pending,2025-03-18 04:33:00,vegetables,18,2025-03-23,537,restaurant,callahanside,vegan,breakfast,jones group,restaurant,"3828 williams lake
brownshire, or 72935",callahanside,(104)313-7701x468,laura marshall,charity,east lisafurt,+1-389-167-7916x81453
42,886,256,pending,2025-03-07 12:22:00,bread,48,2025-03-20,423,restaurant,south justinborough,vegetarian,breakfast,serrano-lopez,restaurant,"312 hodge center
west stevenshire, ks 70989",south justinborough,(225)688-7752x0658,derek wilson,individual,christopherland,+1-963-859-7585x002
43,611,306,pending,2025-03-16 17:08:00,vegetables,40,2025-03-30,993,restaurant,east stephanie,vegetarian,snacks,mckinney ltd,restaurant,"179 fernandez rapids
campbellport, ma 31352",east stephanie,225-959-2378,donna williams,charity,calebview,083-313-0990x09518
44,825,31,pending,2025-03-09 13:02:00,salad,25,2025-03-25,995,supermarket,manningshire,vegetarian,breakfast,moore group,supermarket,"46915 maynard dam suite 320
north alyssa, ca 48762",manningshire,889-093-8775x51762,rose powell,ngo,spencermouth,247-152-7297x648
45,457,569,completed,2025-03-13 07:07:00,soup,30,2025-03-25,347,supermarket,louismouth,non-vegetarian,lunch,"hood, hoffman and wright",supermarket,"783 gonzales valleys apt. 115
alexandrialand, nh 52248",louismouth,992.697.3906x31622,danny randolph,shelter,south yolanda,029.011.8582
46,556,412,cancelled,2025-03-12 02:30:00,fish,48,2025-03-21,938,restaurant,hollyhaven,vegan,lunch,barker llc,restaurant,"5999 brenda trail apt. 807
amberstad, vt 22034",hollyhaven,+1-530-780-2072x25507,david carney,ngo,port dianemouth,001-710-732-1565x428
47,746,48,pending,2025-03-07 10:45:00,bread,31,2025-03-30,293,catering service,joneshaven,non-vegetarian,lunch,ibarra and sons,catering service,"unit 2034 box 3584
dpo ae 66830",joneshaven,855-385-3050x223,jennifer graham,individual,east saraport,001-979-746-0394x487
48,895,373,pending,2025-03-09 23:13:00,pasta,38,2025-03-29,888,supermarket,west sharonview,vegan,snacks,schmidt-alexander,supermarket,"96966 smith expressway
lauraburgh, md 50475",west sharonview,(616)029-0456x6126,seth esparza,shelter,port brandonberg,2597616873
49,190,678,pending,2025-03-20 13:44:00,salad,25,2025-03-22,262,supermarket,new carol,non-vegetarian,snacks,bradford-martinez,supermarket,"366 wheeler fields
harringtonchester, wy 86540",new carol,199.451.0254,joseph johnson,ngo,south jasminechester,412.202.8352x6950
50,251,804,pending,2025-03-19 13:18:00,dairy,12,2025-03-24,241,catering service,devinmouth,non-vegetarian,lunch,"harper, blake and alexander",catering service,"882 smith heights
east cherylborough, dc 06299",devinmouth,(144)381-3923,elizabeth cochran,ngo,theresabury,7711350025
51,543,255,pending,2025-03-04 10:59:00,fruits,9,2025-03-26,526,supermarket,south tylerstad,vegan,dinner,"harrington, jimenez and carr",supermarket,"7266 alvarez junctions suite 564
new robertfort, mt 85213",south tylerstad,154-764-8062,walter myers,individual,new tina,+1-285-278-8381x0454
52,507,517,cancelled,2025-03-15 14:58:00,chicken,43,2025-03-26,968,restaurant,christopherton,vegetarian,lunch,"robinson, schaefer and foster",restaurant,"83418 joshua place suite 333
nathanielborough, in 28904",christopherton,+1-235-607-0553x247,taylor wolfe,individual,new travisland,516.367.4140
53,37,449,completed,2025-03-11 09:43:00,fish,19,2025-03-20,389,grocery store,davidborough,non-vegetarian,dinner,hunt-lee,grocery store,"1004 michael mission
east kenneth, ny 07626",davidborough,001-681-802-0601x91223,mrs. valerie hartman,ngo,port jenniferborough,1271218776
54,534,737,cancelled,2025-03-06 01:44:00,vegetables,34,2025-03-30,223,restaurant,longland,non-vegetarian,dinner,hodges and sons,restaurant,"7970 robinson field
salinaschester, ct 85213",longland,504.107.9130,james brown,shelter,lake catherine,(152)508-8754x91151
55,438,601,completed,2025-03-09 00:13:00,dairy,46,2025-03-20,84,restaurant,marthaside,vegetarian,breakfast,atkins group,restaurant,"2205 sharp junction suite 771
drakefurt, ky 14437",marthaside,+1-318-669-6985x63710,peter gonzalez,shelter,biancaton,(112)578-4601x9811
56,690,452,completed,2025-03-17 14:29:00,fruits,43,2025-03-16,779,supermarket,new bobbytown,vegetarian,breakfast,maynard llc,supermarket,"7357 kimberly estate
williamtown, tx 45569",new bobbytown,416.974.9320x8176,tina banks,charity,port judith,986-535-7620
57,225,295,completed,2025-03-11 21:44:00,fish,26,2025-03-24,340,grocery store,murrayborough,vegan,dinner,"barry, powers and white",grocery store,"1145 justin light
richardside, ct 45760",murrayborough,(023)817-1166,joseph williams,individual,east dale,001-112-513-9413
58,258,149,completed,2025-03-13 15:12:00,fish,24,2025-03-21,101,restaurant,east angelafort,vegetarian,breakfast,chambers-waters,restaurant,"56762 kimberly light suite 474
matthewmouth, ut 45275",east angelafort,001-230-322-3448x38934,nathan willis,ngo,danielfort,830.318.9696x322
59,797,371,cancelled,2025-03-02 23:28:00,dairy,40,2025-03-27,467,catering service,phillipsfort,vegan,breakfast,"wilson, watkins and moore",catering service,"57044 fisher valley
parkerland, id 82897",phillipsfort,782.944.0904,william frederick,ngo,port dean,001-228-551-9866
60,390,391,pending,2025-03-16 15:03:00,soup,19,2025-03-27,264,catering service,new richard,non-vegetarian,lunch,holland and sons,catering service,"430 tyler view apt. 166
south katherine, tx 04269",new richard,184-401-2586x9344,regina munoz,ngo,lake clinton,585.955.3149
